#{"t_start": 1771225423.6887798, "env_id": "None"}
r,l,t
-253.20364,522,2462.15704
-298.72653,425,2463.058162
-400.7906,429,2463.98794
-294.16327,360,2464.942561
-247.8705,421,2467.66225
-400.90088,440,2473.520019
-242.68817,391,2475.693579
-329.56494,326,2479.829556
-212.76978,284,2482.806268
-328.91437,277,2490.194375
-277.1473,296,2490.569562
-300.83777,355,2504.226573
-281.13882,495,2504.995818
-315.72882,298,2507.428372
-400.5308,403,2508.797742
-221.89822,367,2509.456522
-259.39868,358,2512.242944
-183.1058,628,2515.710367
-401.30096,480,2520.443058
-255.7624,336,2530.973616
-292.47574,443,2532.665833
-385.6473,459,2536.604586
-323.73145,537,2536.811539
-401.55017,505,2537.923924
-384.89236,412,2540.777817
-400.47006,397,2544.973425
-402.23215,573,2549.124581
-336.5781,300,2552.583347
-271.1653,345,2559.810268
-401.76093,526,2564.43339
-304.60645,328,2566.827383
-401.5215,502,2569.434121
-171.35057,517,2571.538628
-217.5694,476,2571.945704
-400.30038,380,2575.866137
-219.38171,325,2580.847939
-391.65616,529,2582.733351
-322.42694,317,2584.487305
-400.7703,427,2593.843261
-200.31136,458,2602.186946
-390.59,325,2603.899425
-400.86032,386,2605.426762
-244.68517,332,2605.683303
-211.55064,471,2606.070235
-139.49478,555,2607.216497
-397.7097,601,2607.47103
-212.9739,442,2626.463039
-260.53732,390,2633.326205
-394.2877,330,2634.426262
-125.729,456,2635.592627
-242.54019,422,2637.228442
-216.34122,454,2639.298717
-401.81995,532,2644.265733
-193.29138,582,2650.09387
-306.1197,244,2652.971925
-230.86217,440,2662.328397
-385.43774,453,2666.208461
-402.482,598,2667.172415
-385.63477,487,2667.407569
-244.24185,298,2670.934191
-400.66043,416,2672.775464
-125.77006,511,2673.3517
-400.03073,353,2676.13418
-307.3552,369,2685.304204
-400.1502,365,2688.073668
-196.57605,356,2695.461751
-168.9943,463,2695.970843
-306.26193,340,2698.698826
-182.17543,507,2699.41301
-356.4594,551,2709.176697
-379.80142,365,2709.871124
-399.99008,349,2718.139597
-309.2343,341,2720.427372
-375.33966,289,2727.279948
-355.01477,456,2727.751133
-403.4935,699,2733.521814
-401.25076,475,2739.688045
-400.4603,396,2743.002205
-2.6521661,787,2744.997703
-217.41434,453,2748.608749
-263.70978,377,2750.080068
-390.55066,431,2753.151446
-401.23016,473,2767.449043
-395.90506,408,2769.488122
-400.50012,400,2775.16397
-185.97252,481,2777.741076
-338.52206,382,2781.444215
-321.349,480,2782.266064
-155.7104,523,2786.438002
-198.88774,460,2797.126774
-400.27032,377,2797.511818
-229.02913,497,2797.670316
-374.5187,345,2802.979468
-208.44528,447,2804.215542
-370.89474,414,2807.765994
-244.30313,377,2809.480453
4001.5332,2280,2814.398727
-41.736168,459,2822.825498
-278.2997,355,2828.174048
-151.52983,547,2829.243202
-247.42076,350,2829.900645
-264.38467,468,2831.519254
-397.58514,608,2833.019814
-92.100815,549,2835.25926
-164.39827,370,2838.877664
-301.4581,300,2848.140466
-202.83905,457,2852.286048
-243.23055,318,2853.322642
-295.60486,409,2855.544832
-385.12268,435,2859.059151
-321.7454,380,2862.588112
-226.54327,496,2866.770516
-273.44012,383,2872.277981
-403.8602,686,2873.768722
-400.65033,415,2880.400008
-399.75024,325,2881.58992
-200.00992,426,2884.491202
-306.8645,337,2885.582262
-200.9705,355,2897.452779
-198.3615,390,2905.590186
-291.20407,380,2906.227351
-307.83572,364,2911.333762
-196.23848,337,2914.623164
-325.82858,852,2916.897726
-400.63998,414,2918.585794
-367.69766,331,2919.571477
-260.99515,336,2927.80959
-324.6234,685,2933.27284
-400.24045,374,2935.72387
-229.5285,333,2939.085256
-275.22272,346,2941.476404
-248.71799,560,2942.391014
-199.62491,433,2947.992511
-386.0649,364,2951.190968
-129.73988,733,2960.605228
-133.3107,420,2961.044816
-401.19098,469,2967.591956
-133.26646,559,2968.10682
-390.3458,433,2968.809631
-293.04092,322,2971.373535
-401.7502,475,2978.151015
-162.55205,596,2979.240856
-199.74783,379,2986.458019
-244.01225,355,2991.664246
-401.57022,407,2994.208565
-315.08304,425,2998.848771
-320.29843,317,2999.210788
-204.82545,598,3000.377399
-402.5012,550,3003.719315
-400.5903,409,3004.466443
-383.82996,353,3008.499351
-270.44214,322,3020.630625
-400.98022,348,3024.833885
-184.85196,423,3025.130403
-109.706696,589,3032.76081
-178.09247,561,3033.928986
-274.54187,447,3036.520363
-387.181,608,3042.19485
-230.0637,327,3045.61257
-234.63171,356,3055.207579
-80.63399,719,3057.144799
-401.33972,484,3058.83472
-322.4942,541,3061.298355
-325.64807,372,3062.942019
-323.80328,526,3065.318831
-387.20554,533,3068.317741
-188.3871,515,3076.369584
-396.7502,379,3078.476861
-192.90582,417,3085.439224
-400.1801,368,3085.714463
-203.10732,361,3086.829599
-382.177,575,3093.136605
-401.72998,523,3098.668542
-257.37607,330,3098.867651
-385.80246,530,3101.600182
-312.08392,410,3102.028845
-353.4246,358,3108.463992
-269.96335,278,3111.259611
-228.9933,421,3113.025002
-135.48746,521,3120.868724
-216.66774,342,3125.912091
-342.28656,417,3127.548311
-401.45157,445,3132.041973
-323.89804,509,3133.080412
-401.70984,521,3145.027252
-265.57092,357,3148.435945
2.9861548,548,3148.645416
-401.08063,458,3150.020927
-368.59113,315,3152.291536
-387.0324,522,3164.814623
-271.30487,325,3173.096223
-383.27917,604,3174.434285
-400.90036,440,3176.805462
-307.03998,373,3177.632169
-187.35931,413,3183.064368
-354.76633,530,3186.285856
-245.43837,373,3188.662175
-400.18,318,3195.945628
-321.56326,292,3198.111488
-352.69427,377,3198.715281
-261.41605,446,3206.037974
-194.91281,398,3212.020118
-385.21387,471,3213.892395
-400.38028,388,3220.288215
